,date,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,precipitation_hours,shortwave_radiation_sum,et0_fao_evapotranspiration,temperature_2m_mean,dew_point_2m_mean,cloud_cover_mean,leaf_wetness_probability_mean,precipitation_sum,relative_humidity_2m_mean,pressure_msl_mean,surface_pressure_mean,wind_gusts_10m_mean,wind_speed_10m_mean,apparent_temperature_mean,date_anomaly_score,daylight_duration_anomaly_score,sunshine_duration_anomaly_score,rain_sum_anomaly_score,snowfall_sum_anomaly_score,precipitation_hours_anomaly_score,shortwave_radiation_sum_anomaly_score,et0_fao_evapotranspiration_anomaly_score,temperature_2m_mean_anomaly_score,dew_point_2m_mean_anomaly_score,cloud_cover_mean_anomaly_score,leaf_wetness_probability_mean_anomaly_score,precipitation_sum_anomaly_score,relative_humidity_2m_mean_anomaly_score,pressure_msl_mean_anomaly_score,surface_pressure_mean_anomaly_score,wind_gusts_10m_mean_anomaly_score,wind_speed_10m_mean_anomaly_score,apparent_temperature_mean_anomaly_score
41,2021-08-15,58262.375,25331.934,6.1142855,0.0,12.571428,9.867143,1.6339518,12.63494,9.975119,78.3631,78.55719,6.1142855,85.07586,1006.1137,997.3789,16.564285,6.3467565,11.74314,0.09125920560011447,0.026399870913832113,0.17212415005688597,0.050867313354646226,0.29695101169835014,0.0021718467510948303,0.14419196361006043,0.0988119571671785,0.22136394067631232,0.19907106219102177,0.21639004372074228,0.04683202473553538,0.059871803501888476,0.21386072097385606,0.23451962212881294,0.2407039981921426,0.2558818678236898,0.24860304607478012,0.1937872951295469
42,2021-08-22,55896.71,33108.707,3.2285714,0.0,5.428571,12.288571,2.122568,12.840297,8.242976,68.565475,62.081654,3.2285714,75.394646,1014.95953,1006.1537,17.25857,6.9266424,11.401648,0.09332833914006067,0.022294322009161927,0.17380090788110747,0.13486400605312482,0.29695101169835014,0.11697492312454189,0.13747937127409893,0.13585770052638024,0.22548584044332431,0.1948918227786849,0.1919631736408728,0.06000060662184914,0.13223564897143797,0.22001768854034903,0.2381206957862016,0.239619357837976,0.2246520150369682,0.2579695605843227,0.19438432059249172
43,2021-08-29,53478.94,20167.846,9.5,0.0,12.285714,9.45,1.5952213,11.265893,8.277202,77.19643,76.69048,9.5,83.466125,1007.51074,998.72156,18.623571,7.5535464,9.812917,0.09370422936239786,0.02803764227185579,0.15593052909044675,0.008167847183898513,0.29695101169835014,-0.0006125721605652057,0.1484761766895587,0.13469202492775578,0.20160786750863485,0.1915956580388617,0.18833721361611677,0.05671656031679517,0.019971860149045173,0.2390267406047693,0.24906636614260425,0.2420568110880169,0.22357281634776266,0.2357541188975094,0.19005518155414552
44,2021-09-05,51056.855,23278.35,3.5142856,0.0,8.428572,9.421428,1.5069917,13.08375,10.170059,81.422615,76.04072,3.5142856,83.89024,1006.92975,998.20123,11.205,4.683308,12.494528,0.09527911659086147,0.024502619972956108,0.1772128361567113,0.12340813477867985,0.29695101169835014,0.1051684688952389,0.15133116437859212,0.1172320445543708,0.23679121860551766,0.17194842247340614,0.2047678906497319,0.08505812236473498,0.13809054386712993,0.22073555603333245,0.2238478259939201,0.22573939990830766,0.11258573146842721,0.1278054047365994,0.20926375643628964
45,2021-09-12,48652.125,24529.709,2.3142855,0.0,5.285714,8.868571,1.3567836,11.188809,8.077798,85.625,77.69453,2.3142855,82.26566,1008.2661,999.4682,11.494286,4.418792,10.062522,0.0994575406869957,0.01898805239755552,0.16013306181052744,0.142134909695317,0.29695101169835014,0.13130132062556654,0.12852090344995126,0.12199002519619812,0.2026270944286453,0.18754213935900066,0.20112173588687,0.07071453593811328,0.15048889663045623,0.23908928409727542,0.2555743827139618,0.24770657372457588,0.13265816719469836,0.06662886346991648,0.1854393031460284
46,2021-09-19,46218.582,26904.014,2.6285713,0.0,8.571428,8.487143,1.3358564,8.224226,4.414405,69.875,70.94923,2.6285713,78.54512,1001.17566,992.3477,21.042858,9.469493,5.5283766,0.09496940793724112,0.033450853615304754,0.13519033369459843,0.11862087099341567,0.29695101169835014,0.10356560441453905,0.13845288044683346,0.1320203584533436,0.21794038710672164,0.16005462455812614,0.18915261989915383,0.08139542009210254,0.1512494444187596,0.24595614086516282,0.22845564543245794,0.21690672464612804,0.10219469223551525,0.12689623658430216,0.18669752231523612
47,2021-09-26,43797.285,15534.96,2.0571427,1.1699998,7.142857,6.9700003,1.1237768,3.3138096,-1.5278571,74.15477,23.60105,3.7285714,72.75997,1002.4262,993.4308,23.380713,10.754538,-0.54189956,0.09707726591253563,0.025814174813082347,0.18133642912786863,0.1596575429553969,0.1420530418919349,0.11727316912481678,0.14889232029680532,0.1284873567799279,0.1881644637197477,0.1876237436963646,0.19994192113078157,0.02672121172575348,0.13226339221003514,0.22066637910354636,0.20868089573488574,0.19023528663317452,0.03257490408833186,0.10899737011196853,0.17887855819885523
48,2021-10-03,41387.215,28991.488,0.014285714,0.06,1.0,8.718572,1.1160723,1.4632143,-4.844524,43.97024,9.218726,0.1,64.63183,997.0548,988.0477,17.046427,7.739839,-2.405131,0.09338479070240302,0.02358286177115332,0.1617375177913618,0.23329705852779392,0.17104716491802313,0.04540305497720265,0.1370053589454588,0.1272470927369651,0.21493124430267468,0.21949316954273212,0.1020110863358239,0.07596172089754227,0.11780570848710448,0.2325196428135115,0.21515982295572406,0.20019347450004038,0.2478738097940928,0.2243939855356762,0.2190917098090674
49,2021-10-10,38947.75,11287.281,3.942857,0.0,10.142858,3.5828571,0.52818286,3.5742264,1.2730358,82.297615,18.87145,3.942857,85.837585,1004.925,995.91614,17.207144,8.23615,0.49561453,0.0935565665094602,0.03231566978044964,0.1515510261442361,0.12010493701828917,0.29695101169835014,0.0848084430515193,0.1527384590328909,0.14582010786766747,0.18238652132817845,0.17004663536583942,0.2247569803239281,0.04962082321054262,0.12443723250584804,0.1930759888104247,0.23057762723868325,0.2116114365719386,0.22671942357678687,0.2531134187276789,0.17578848548255038
50,2021-10-17,36530.848,17164.178,0.028571429,0.65999997,3.142857,4.277143,0.50359595,1.3807738,-1.8489879,86.65476,10.226369,0.95714295,79.963615,997.853,988.8361,11.07,5.309127,-1.764494,0.09272292726205456,0.028672470557957075,0.1862409937854521,0.20356685728101503,0.1403535311701577,0.09766257498229558,0.09202869942015779,0.1489498356524862,0.21940862400280098,0.1601055112403798,0.2084346154562366,0.04949272563393414,0.14333015931115167,0.227964771307201,0.20155069250956348,0.21874690802335528,0.09692095060336237,0.23411877561762406,0.1898613811511931
