date,usa_weekly_s_avg_c,usa_weekly_w_avg_c
2023-01-01,4.5264096666134455,6.844849357950321
2023-01-08,5.400324300918768,8.546339121726342
2023-01-15,4.164329861473389,6.469020727304111
2023-01-22,4.169657807198879,6.744450544952821
2023-01-29,2.1763629948123246,4.927157509307512
2023-02-05,-0.03242545142016822,3.2004369073194376
2023-02-12,5.393525666811764,7.877480093992882
2023-02-19,5.455202816015967,8.073554017706767
2023-02-26,5.142644451299719,8.89883367757903
2023-03-05,6.805062838327731,9.740179062218171
2023-03-12,6.114487403766667,9.225422644804604
2023-03-19,4.538851334899159,7.026544221643078
2023-03-26,7.947254669659104,10.484275370119791
2023-04-02,8.579450108638655,11.170363547757491
2023-04-09,10.75413496719888,13.063626158920895
2023-04-16,15.041605825803924,16.277365249877327
2023-04-23,12.344850444960784,14.44491779175897
2023-04-30,12.560005667226891,14.00428305418473
2023-05-07,14.560945201960786,15.34548282940358
2023-05-14,18.35988308627451,19.189990109957904
2023-05-21,18.138460526330533,18.934262178891885
2023-05-28,18.61984450840336,18.908002380877154
2023-06-04,20.791109817647058,21.08444384992807
2023-06-11,20.432420474789915,20.857448834780392
2023-06-18,20.797441530812325,21.595637969857027
2023-06-25,22.13525669467787,22.66055375408835
2023-07-02,23.982799974789916,24.38792760296379
2023-07-09,24.296758773109243,24.71474245494366
2023-07-16,25.046530985994398,25.658164786481944
2023-07-23,25.156586044817924,25.662653167422302
2023-07-30,26.202349165266106,26.512261768790268
2023-08-06,24.476024504201682,25.202928189978042
2023-08-13,24.34258020028011,25.279332363356662
2023-08-20,24.242411095238094,24.976360184948298
2023-08-27,25.0906018627451,25.61792325452799
2023-09-03,23.24759907843137,23.98405147238972
2023-09-10,23.756165714285714,24.80677438067607
2023-09-17,20.305249773109242,21.477862930854915
2023-09-24,19.55864005938375,20.6024487344066
2023-10-01,19.432338871428573,20.28649363607047
2023-10-08,18.02601291232493,19.61068184743391
2023-10-15,14.474565753221288,16.08059783001918
2023-10-22,14.577932719607844,15.77207542432024
2023-10-29,14.187579404257702,16.674053442668
2023-11-05,8.69646107477311,10.860752154315696
2023-11-12,10.779275054081234,13.015451661513053
2023-11-19,9.845054713921568,11.910923319114573
2023-11-26,5.720369761006246,8.316901952668418
2023-12-03,5.052646837705882,7.580961863572769
2023-12-10,6.411931438067227,8.915018611045188
2023-12-17,4.9104024422885155,7.330707059397285
2023-12-24,5.288903874759105,7.495246650263196
2023-12-31,4.962666654831092,7.425630140198955
2024-01-07,2.0300686074229692,4.363650120330674
2024-01-14,0.4679888623462184,4.0228096721588695
2024-01-21,-4.3397668252521004,-1.062486184809792
2024-01-28,5.320684973940616,8.23629705549022
2024-02-04,4.8614353998521,6.935639890196631
2024-02-11,5.664802506512605,7.764684443762516
2024-02-18,3.1394290440392156,5.526078752024178
2024-02-25,5.7516898208207285,7.637726691248482
2024-03-03,7.941693310588235,10.226295127090934
2024-03-10,8.387637548770309,10.883511276809914
2024-03-17,10.068817514658264,12.199789072170748
2024-03-24,6.7267773073529415,8.823177887123878
2024-03-31,8.834095303313726,10.964504828024616
2024-04-07,9.662783410588235,11.401265560989074
2024-04-14,13.89282541204762,15.284097075821705
2024-04-21,13.747616463061624,15.736249602912224
2024-04-28,13.92694657955182,15.25035800272004
2024-05-05,16.42210301204482,18.27394302829016
2024-05-12,16.77580286862745,18.40974160109403
2024-05-19,18.277349432492997,19.079849116162457
2024-05-26,19.98913727955182,21.199660108387263
2024-06-02,19.82587887254902,20.580630006677957
2024-06-09,22.2361846232493,22.879172844756052
2024-06-16,22.59740055602241,23.128146044017118
2024-06-23,24.75410573389356,25.544549779837393
2024-06-30,24.951806585434174,25.56880900575246
2024-07-07,24.670807649859942,25.47934947192793
2024-07-14,26.225814546218487,26.15313569647295
2024-07-21,25.251578977591038,25.486848839291408
2024-07-28,24.534527271708686,24.658832943187093
2024-08-04,26.187088815126053,26.22101507544677
2024-08-11,24.116226418767504,24.971934133845643
2024-08-18,23.97012463585434,24.698960904571866
2024-08-25,22.533430033613445,23.181049421243983
2024-09-01,24.026853257703085,24.718414345635612
2024-09-08,21.352664436974788,22.673810435512785
2024-09-15,21.548240900560224,22.396742058296176
2024-09-22,21.383511813445377,22.195495373209088
2024-09-29,20.28307417114846,21.096405021652874
2024-10-06,19.18329583417367,20.60272000761676
2024-10-13,17.103621391036416,18.295461526229612
2024-10-20,13.093198924201682,14.544108015902362
